Emp_ID,Age,Join_Date,Department,Salary
1418,40,25-03-2020,Marketing,101000
1443,40,30-10-2021,Sales,32000
1192,47,10-05-2021,HR,124000
1234,40,20-12-2018,IT,101500
1043,44,17-05-2022,Marketing,164000
1228,31,28-11-2024,HR,50000
1198,39,17-09-2018,Finance,148000
1009,25,19-09-2019,Operations,41000
1204,40,13-10-2020,Finance,36000
1361,34,13-07-2022,Finance,154000
1294,30,31-03-2018,HR,34000
1446,43,01-10-2025,HR,124000
1299,27,11-04-2018,IT,84000
1232,22,13-06-2018,Marketing,153000
1285,24,06-01-2024,Finance,81000
1397,48,29-03-2019,Operations,58000
1246,35,13-03-2023,IT,102000
1114,31,14-07-2024,Finance,125000
1115,43,07-07-2025,Operations,159000
1186,40,12-12-2021,Sales,40000
1076,49,02-08-2025,IT,101000
1256,40,19-08-2018,Other,140000
1286,32,05-04-2024,IT,91000
1088,48,12-12-2021,Finance,138000
1106,42,12-06-2024,Operations,47000
1014,35,26-09-2025,Finance,120000
1178,36,08-12-2025,Marketing,168000
1297,29,03-12-2019,Sales,92000
1119,58,03-07-2023,Marketing,132000
1268,46,12-04-2022,Other,137000
1003,31,10-10-2021,Marketing,113000
1393,44,12-02-2022,IT,116000
1019,37,13-06-2023,Marketing,67000
1066,48,07-07-2025,HR,151000
1147,52,02-03-2018,Marketing,92000
1433,43,25-05-2025,HR,70000
1145,40,25-11-2024,HR,172000
1225,41,17-08-2020,IT,25000
1263,52,25-06-2024,Operations,111000
1187,56,12-12-2021,Operations,111000
1424,28,18-04-2018,Sales,180000
1427,37,21-06-2018,Marketing,125000
1065,39,19-12-2019,Operations,96000
1069,32,26-02-2018,IT,54000
1407,42,12-10-2019,Operations,49000
1241,53,03-11-2020,Sales,87000
1298,57,30-04-2020,Marketing,101000
1416,40,29-11-2019,HR,94000
1150,43,29-10-2023,Sales,60000
1377,45,04-11-2023,Marketing,30000
1109,50,05-01-2024,Sales,105000
1087,37,10-07-2019,Finance,163000
1149,47,20-10-2021,Finance,75000
1323,41,06-03-2024,IT,106000
1349,36,26-06-2019,HR,154000
1368,40,30-09-2022,Other,113000
1337,45,20-09-2021,Marketing,103000
1164,47,12-10-2023,Marketing,72000
1457,44,01-12-2019,Finance,57000
1085,29,18-07-2025,Finance,120000
1215,40,17-02-2023,Marketing,53000
1355,58,29-11-2025,HR,55000
1096,36,01-02-2023,Operations,134000
1295,25,05-01-2025,IT,131000
1059,58,15-12-2018,IT,131000
1033,40,15-01-2024,Operations,75000
1308,53,02-05-2019,Operations,51000
1170,48,25-08-2018,Operations,30000
1284,37,23-09-2024,Finance,31000
1341,31,04-06-2023,IT,149000
1163,29,23-02-2023,Operations,111000
1374,29,15-08-2025,HR,162000
1210,26,09-01-2024,Finance,54000
1304,29,12-12-2021,Finance,28000
1105,24,27-02-2023,Finance,171000
1123,52,22-01-2018,IT,63000
1289,58,18-02-2023,Operations,45000
1218,35,09-01-2018,Sales,162000
1094,40,27-11-2018,HR,95000
1389,35,23-08-2025,Finance,35000
1191,26,22-02-2021,Sales,70000
1425,52,10-12-2024,Operations,124000
1419,23,12-12-2021,Finance,153000
1288,26,03-07-2020,Operations,101000
1381,56,23-11-2021,HR,138000
1070,40,24-01-2021,Marketing,87000
1266,41,23-07-2018,Sales,96000
1080,40,12-12-2021,Operations,27000
1378,40,23-04-2023,IT,159000
1016,53,26-06-2019,Sales,87000
1265,32,14-11-2022,IT,73000
1072,53,01-04-2023,Finance,164000
1340,54,14-06-2022,IT,67000
1366,37,29-12-2021,IT,45000
1154,25,26-10-2023,Finance,147000
1375,50,04-10-2022,Marketing,62000
1101,40,13-12-2023,Marketing,65000
1081,40,31-07-2020,Finance,73000
1367,52,15-07-2021,Sales,150000
1111,57,18-06-2018,Sales,107000
1064,53,12-12-2021,Marketing,101000
1248,40,27-07-2019,IT,81000
1024,54,30-11-2021,HR,65000
1292,44,25-02-2019,Sales,41000
1317,48,27-12-2023,Marketing,158000
1452,40,26-12-2024,IT,114000
1181,29,16-05-2023,Operations,77000
1392,43,04-01-2025,Finance,162000
1335,53,02-01-2022,Operations,97000
1391,40,22-06-2018,Operations,177000
1243,31,12-12-2021,HR,158000
1344,44,29-05-2023,IT,60000
1160,52,27-03-2020,Finance,40000
1082,24,12-12-2021,Finance,48000
1321,34,03-03-2020,HR,44000
1435,52,15-12-2022,Other,165000
1430,51,25-01-2023,Sales,174000
1127,44,15-05-2025,Sales,110000
1061,27,13-12-2019,Other,140000
1151,41,09-09-2023,Sales,169000
1102,25,12-12-2021,IT,133000
1213,53,06-02-2020,Marketing,116000
1089,40,04-02-2021,IT,141000
1385,26,01-04-2021,Marketing,94000
1073,40,22-04-2023,Marketing,63000
1023,47,28-03-2025,Finance,109500
1046,48,12-02-2018,Operations,114000
1301,32,28-11-2022,Finance,48000
1275,43,21-07-2018,Finance,30000
1258,41,10-08-2019,Marketing,149000
1404,38,28-01-2023,Other,33000
1343,58,01-05-2025,Sales,44000
1041,40,07-10-2021,Sales,63000
1097,40,31-01-2019,Finance,109500
1026,35,17-12-2020,Finance,38000
1371,58,16-06-2024,IT,85000
1279,53,29-12-2019,Marketing,114000
1257,40,29-08-2019,HR,159000
1437,40,10-03-2025,Sales,70000
1324,56,02-12-2021,HR,109000
1342,45,06-02-2023,IT,107000
1470,43,14-02-2018,Sales,171000
1107,47,22-10-2021,HR,54000
1322,39,17-06-2019,Other,144000
1071,30,02-05-2021,Marketing,154000
1183,58,12-12-2021,Sales,173000
1194,44,18-03-2022,Operations,111000
1434,40,12-12-2021,Other,152000
1467,50,13-07-2020,Other,152000
1464,23,16-11-2025,Operations,122000
1216,24,13-12-2022,Marketing,88000
1369,51,12-12-2021,HR,50000
1326,42,10-04-2019,Sales,31000
1399,35,24-11-2018,Operations,167000
1398,58,05-11-2022,Sales,96000
1356,47,03-05-2024,Operations,66000
1455,51,16-01-2019,Operations,141000
1084,51,31-07-2019,HR,126000
1312,34,18-03-2019,IT,175000
1217,29,28-08-2020,Operations,114000
1110,44,25-06-2021,IT,101500
1052,37,23-05-2024,Marketing,151000
1282,44,06-12-2020,Operations,126000
1156,41,27-11-2025,Operations,147000
1158,35,16-01-2024,Sales,60000
1153,40,09-11-2025,IT,132000
1315,54,13-11-2025,Finance,166000
1251,37,08-06-2023,Sales,47000
1231,22,20-07-2021,Sales,164000
1235,30,11-03-2019,Finance,91000
1463,54,07-06-2019,IT,165000
1157,46,06-05-2022,HR,98000
1117,40,11-10-2021,Sales,121000
1025,57,10-06-2025,HR,52000
1280,25,06-01-2024,HR,82000
1357,40,13-12-2020,IT,123000
1458,26,23-12-2023,Sales,87000
1388,38,21-02-2018,Operations,111000
1004,40,15-04-2021,Sales,117000
1034,29,15-05-2021,Operations,128000
1167,52,17-10-2024,Operations,145000
1363,23,22-11-2020,Operations,81000
1408,25,01-10-2021,Marketing,55000
1012,55,19-09-2024,IT,117000
1159,55,11-08-2020,Marketing,145000
1409,40,12-12-2021,Sales,108000
1353,40,05-05-2025,Finance,52000
1209,33,16-05-2025,IT,75000
1331,28,10-09-2025,IT,137000
1242,22,01-06-2018,Marketing,103000
1220,42,01-08-2025,HR,93000
1249,40,22-09-2018,Operations,57000
1261,42,30-12-2018,Operations,110000
1306,57,15-11-2024,Operations,154000
1333,22,06-03-2022,IT,113000
1138,40,19-06-2022,Operations,130000
1174,39,12-12-2021,Operations,111000
1118,24,08-02-2025,Marketing,139000
1086,36,15-02-2025,Operations,129000
1270,52,23-08-2020,IT,33000
1168,27,12-04-2023,IT,101500
1278,34,12-12-2021,IT,75000
1319,57,04-04-2025,HR,98000
1260,40,03-10-2024,Sales,169000
1011,33,12-03-2019,Finance,154000
1262,28,17-07-2018,Operations,67000
1311,40,11-04-2019,Operations,129000
1027,30,08-12-2020,Marketing,134000
1015,23,31-07-2020,IT,40000
1239,58,19-08-2023,IT,157000
1449,28,16-10-2023,HR,34000
1276,36,20-12-2022,Finance,131000
1208,28,05-11-2019,Operations,69000
1214,53,07-08-2023,Marketing,46000
1287,36,06-11-2021,Finance,174000
1128,52,07-07-2019,Other,140000
1459,49,19-11-2022,Finance,85000
1165,37,29-12-2020,Finance,109500
1396,37,17-09-2018,Sales,73000
1203,26,15-09-2024,Marketing,132000
1465,57,15-01-2022,HR,57000
1253,42,01-05-2018,Finance,145000
1126,56,09-11-2023,Marketing,36000
1402,32,03-02-2024,Finance,161000
1152,23,23-12-2020,Sales,38000
1185,44,17-02-2024,Sales,40000
1370,39,16-11-2024,HR,78000
1405,36,12-12-2021,Operations,166000
1445,41,09-08-2025,Other,172000
1049,40,20-05-2021,Sales,169000
1189,36,27-11-2018,Operations,48000
1422,55,28-10-2022,HR,169000
1250,58,06-06-2022,Marketing,69000
1428,24,24-01-2023,IT,87000
1406,44,21-12-2020,Sales,90000
1125,31,01-07-2018,HR,72000
1373,40,11-07-2020,Operations,111000
1134,26,09-12-2023,Finance,88000
1413,44,04-10-2018,HR,138000
1441,36,12-12-2021,IT,55000
1412,55,21-10-2018,Marketing,101000
1382,30,04-06-2023,Operations,147000
1179,35,20-11-2018,Finance,109500
1291,40,27-12-2023,Finance,107000
1098,49,30-07-2018,Sales,51000
1274,48,05-06-2025,Sales,69000
1021,52,16-12-2023,Sales,96000
1091,22,16-08-2019,Sales,69000
1104,38,12-12-2021,Operations,58000
1236,23,25-10-2022,IT,172000
1042,43,31-08-2022,Marketing,174000
1175,25,07-01-2018,HR,39000
1188,55,26-02-2020,Finance,93000
1047,34,19-12-2024,HR,54000
1029,48,26-09-2019,HR,70000
1206,54,04-11-2018,Finance,46000
1320,42,12-12-2021,Finance,138000
1184,37,05-05-2025,Finance,150000
1468,58,06-05-2018,Operations,173000
1247,37,06-12-2022,Operations,111000
1453,26,19-10-2021,IT,145000
1283,40,19-03-2019,Finance,108000
1116,33,31-10-2021,Marketing,60000
1314,42,25-04-2022,Sales,88000
1207,35,27-11-2021,Marketing,140000
1224,30,21-05-2021,Finance,109500
1245,39,10-04-2020,Sales,52000
1309,41,22-04-2024,Operations,112000
1264,26,18-03-2022,IT,48000
1002,34,11-12-2025,HR,96000
1390,34,02-08-2018,HR,85000
1169,32,11-02-2023,Operations,174000
1454,33,24-08-2024,Operations,116000
1460,51,02-04-2019,HR,94000
1020,57,17-06-2023,Finance,39000
1001,37,24-02-2019,Sales,96000
1077,49,16-12-2023,Operations,68000
1255,44,26-04-2018,Finance,169000
1010,22,15-04-2019,Sales,112000
1364,22,14-12-2020,IT,101500
1360,40,22-11-2025,IT,168000
1293,43,14-09-2025,Finance,150000
1037,40,29-09-2020,Sales,43000
1325,57,12-12-2021,Operations,86000
1358,25,19-12-2019,Other,157000
1053,39,18-10-2023,IT,129000
1227,41,30-06-2019,Operations,160000
1055,51,26-10-2020,Operations,55000
1365,39,30-08-2025,HR,76000
1221,39,20-02-2022,Marketing,25000
1277,55,19-08-2018,HR,154000
1074,40,12-12-2021,HR,94000
1056,39,19-11-2023,IT,100000
1400,24,29-05-2021,HR,49000
1415,23,13-01-2024,Sales,91000
1202,40,10-11-2018,Marketing,60000
1103,40,17-06-2023,Other,126000
1252,56,16-04-2022,Finance,149000
1036,35,27-11-2019,Finance,110000
1450,24,31-08-2024,Finance,36000
1092,23,03-08-2018,Marketing,41000
1439,55,05-06-2020,IT,160000
1133,40,03-10-2018,Operations,123000
1031,34,15-02-2021,Finance,155000
1171,44,26-01-2024,IT,101500
1199,34,09-07-2019,Marketing,122000
