Emp_ID,Age,Join_Date,Department,Salary
1418,,2020-03-25 00:00:00,Marketing,
1443,-30.0,2021-10-30 00:00:00,Sales,32000
1192,47.0,2021-05-10 00:00:00,HR,124000
1234,,12/20/2018,IT,
1043,44.0,05/17/2022,Marketing,164000
1228,31.0,2024-11-28 00:00:00,hr,â‚¹50000
1198,39.0,2018-09-17 00:00:00,Finance,148000
1009,25.0,2019-09-19 00:00:00,Operations,41000
1204,,2020-10-13 00:00:00,FINANCE,36000
1361,34.0,2022-07-13 00:00:00,FINANCE,$154000
1294,30.0,2018-03-31 00:00:00,hr,34000
1446,43.0,2025-01-10 00:00:00,HR,â‚¹124000
1299,27.0,2018-11-04 00:00:00,IT,84000
1232,22.0,06/13/2018,Marketing,153000
1285,24.0,2024-06-01 00:00:00,Finance,81000
1397,48.0,2019-03-29 00:00:00,operations,â‚¹58000
1246,35.0,2023-03-13 00:00:00,it,102000
1114,31.0,2024-07-14 00:00:00,Finance,$125000
1115,43.0,2025-07-07 00:00:00,Operations,$159000
1186,,,Sales,40000
1076,49.0,2025-02-08 00:00:00,IT,101000
1256,,2018-08-19 00:00:00,,
1286,32.0,2024-04-05 00:00:00,IT,91000
1088,48.0,,FINANCE,138000
1106,42.0,2024-12-06 00:00:00,Operations,47000
1014,35.0,2025-09-26 00:00:00,Finance,120000
1178,36.0,2025-12-08 00:00:00,Marketing,168000
1297,29.0,2019-03-12 00:00:00,SALES,92000
1119,58.0,2023-03-07 00:00:00,Marketing,132000
1268,46.0,2022-04-12 00:00:00,,137000
1003,31.0,2021-10-10 00:00:00,marketing,113000
1393,44.0,2022-12-02 00:00:00,IT,116000
1019,37.0,2023-06-13 00:00:00,Marketing,67000
1066,48.0,2025-07-07 00:00:00,HR,151000
1147,52.0,2018-02-03 00:00:00,marketing,92000
1433,43.0,05/25/2025,HR,70000
1145,40.0,2024-11-25 00:00:00,HR,172000
1225,41.0,2020-08-17 00:00:00,IT,25000
1263,52.0,2024-06-25 00:00:00,OPERATIONS,
1187,56.0,, Operations ,
1424,28.0,2018-04-18 00:00:00,Sales,180000
1427,37.0,2018-06-21 00:00:00,Marketing,125000
1065,39.0,2019-12-19 00:00:00,Operations,â‚¹96000
1069,32.0,2018-02-26 00:00:00,IT,54000
1407,42.0,2019-12-10 00:00:00,Operations,49000
1241,53.0,2020-03-11 00:00:00,Sales,â‚¹87000
1298,57.0,2020-04-30 00:00:00,Marketing,
1416,,2019-11-29 00:00:00,HR,
1150,43.0,2023-10-29 00:00:00,Sales,60000
1377,45.0,"November 04, 2023",MARKETING,$30000
1109,50.0,2024-05-01 00:00:00,Sales,â‚¹105000
1087,37.0,2019-07-10 00:00:00,Finance,163000
1149,47.0,2021-10-20 00:00:00,Finance,75000
1323,41.0,2024-06-03 00:00:00,IT,106000
1349,36.0,2019-06-26 00:00:00,HR,154000
1368,-36.0,2022-09-30 00:00:00,,113000
1337,45.0,09/20/2021,Marketing,103000
1164,47.0,2023-10-12 00:00:00,Marketing,72000
1457,44.0,2019-12-01 00:00:00,Finance,57000
1085,29.0,2025-07-18 00:00:00,Finance,$120000
1215,40.0,2023-02-17 00:00:00,Marketing,53000
1355,58.0,2025-11-29 00:00:00,HR,55000
1096,36.0,2023-02-01 00:00:00,operations,134000
1295,25.0,2025-05-01 00:00:00,IT,131000
1059,58.0,"December 15, 2018",IT,131000
1150,43.0,2023-10-29 00:00:00,Sales,60000
1033,,2024-01-15 00:00:00,Operations,75000
1308,53.0,"May 02, 2019",Operations,51000
1170,48.0,2018-08-25 00:00:00,Operations,30000
1284,37.0,2024-09-23 00:00:00,Finance,31000
1341,31.0,2023-04-06 00:00:00,IT,149000
1163,29.0,2023-02-23 00:00:00,OPERATIONS,111000
1374,29.0,"August 15, 2025",HR,â‚¹162000
1210,26.0,2024-01-09 00:00:00,FINANCE,54000
1304,29.0,,Finance,28000
1105,24.0,02/27/2023,Finance,171000
1123,52.0,01/22/2018, IT ,63000
1289,58.0,2023-02-18 00:00:00,OPERATIONS,45000
1218,35.0,2018-09-01 00:00:00, Sales ,â‚¹162000
1094,,2018-11-27 00:00:00,hr,95000
1389,35.0,"August 23, 2025",FINANCE,35000
1191,26.0,02/22/2021,Sales,70000
1425,52.0,2024-10-12 00:00:00,Operations,124000
1419,23.0,2021-12-12 00:00:00,FINANCE,153000
1288,26.0,2020-03-07 00:00:00,Operations,101000
1381,56.0,2021-11-23 00:00:00,HR,138000
1065,39.0,2019-12-19 00:00:00,Operations,â‚¹96000
1070,40.0,2021-01-24 00:00:00,Marketing,87000
1266,41.0,2018-07-23 00:00:00,Sales,
1080,40.0,,Operations,27000
1147,52.0,2018-02-03 00:00:00,marketing,92000
1378,,2023-04-23 00:00:00,IT,159000
1016,53.0,2019-06-26 00:00:00,Sales,87000
1265,32.0,2022-11-14 00:00:00,IT,73000
1014,35.0,2025-09-26 00:00:00,Finance,120000
1072,53.0,2023-01-04 00:00:00,Finance,164000
1340,54.0,2022-06-14 00:00:00,IT,67000
1366,37.0,2021-12-29 00:00:00,it,45000
1154,25.0,2023-10-26 00:00:00,Finance,147000
1375,50.0,2022-04-10 00:00:00,Marketing,62000
1101,,2023-12-13 00:00:00,Marketing,65000
1081,40.0,2020-07-31 00:00:00,FINANCE,73000
1367,52.0,2021-07-15 00:00:00,Sales,â‚¹150000
1111,57.0,2018-06-18 00:00:00,Sales,107000
1064,53.0,,Marketing,-179000
1248,,2019-07-27 00:00:00,IT,$81000
1024,54.0,11/30/2021,HR,65000
1292,44.0,2019-02-25 00:00:00,Sales,41000
1317,48.0,2023-12-27 00:00:00,Marketing,$158000
1452,,2024-12-26 00:00:00,IT,114000
1181,29.0,05/16/2023,Operations,77000
1392,43.0,2025-01-04 00:00:00,Finance,162000
1335,53.0,2022-01-02 00:00:00,OPERATIONS,97000
1391,,2018-06-22 00:00:00,Operations,â‚¹177000
1243,31.0,,HR,158000
1344,44.0,05/29/2023,IT,60000
1160,52.0,2020-03-27 00:00:00,Finance,40000
1082,24.0,,Finance,48000
1321,34.0,2020-03-03 00:00:00,HR,â‚¹44000
1435,52.0,2022-12-15 00:00:00,,165000
1430,51.0,2023-01-25 00:00:00,sales,174000
1127,44.0,2025-05-15 00:00:00,Sales,$110000
1061,27.0,2019-12-13 00:00:00,,140000
1151,41.0,2023-09-09 00:00:00,Sales,169000
1102,25.0,, IT ,133000
1213,53.0,2020-02-06 00:00:00,Marketing,116000
1089,,2021-02-04 00:00:00,IT,$141000
1385,26.0,2021-04-01 00:00:00,Marketing,94000
1073,,2023-04-22 00:00:00,Marketing,63000
1023,47.0,2025-03-28 00:00:00,Finance,
1046,48.0,2018-12-02 00:00:00,Operations,114000
1301,32.0,"November 28, 2022",Finance,48000
1275,43.0,2018-07-21 00:00:00,Finance,30000
1258,41.0,2019-10-08 00:00:00,Marketing,149000
1404,38.0,2023-01-28 00:00:00,,33000
1343,58.0,2025-05-01 00:00:00,Sales,44000
1041,40.0,2021-10-07 00:00:00,sales,63000
1097,,2019-01-31 00:00:00,Finance,
1026,35.0,2020-12-17 00:00:00,Finance,$38000
1371,58.0,2024-06-16 00:00:00,IT,85000
1279,53.0,"December 29, 2019",Marketing,114000
